Taxa de analfabetismo - pessoas com 15 anos ou mais (Atlas DH - Censo)
Sigla;Código;Município;1991;2000;2010;2022;
BA;2927101;Rodelas;38,88;27,73;22,16;12,56;
BA;2927200;Ruy Barbosa;45,33;29,73;22,69;18,02;
BA;2927309;Salinas da Margarida;28,5;15,64;12,04;8,73999999999999;
BA;2927408;Salvador;9,85;6,28;3,97;3,45;
BA;2927507;Santa Bárbara;46,93;30,96;22,23;18,06;
BA;2927606;Santa Brígida;68,96;48,91;34,08;28,32;
BA;2927705;Santa Cruz Cabrália;42,41;24,08;15,81;11,19;
BA;2927804;Santa Cruz da Vitória;47,88;36,11;24,61;20,99;
BA;2927903;Santa Inês;53,48;34,65;28,26;21,04;
BA;2928000;Santaluz;42,28;32,18;23,37;17,07;
BA;2928059;Santa Luzia;50,12;35,39;29,89;20,02;
BA;2928109;Santa Maria da Vitória;46,43;29,41;23,97;18,35;
BA;2928208;Santana;41,83;31,5;25,72;16,74;
BA;2928307;Santanópolis;46,08;30,69;24,27;18,43;
BA;2928406;Santa Rita de Cássia;41,36;25,67;21,04;16,07;
BA;2928505;Santa Teresinha;49,96;37,84;25,36;20,94;
BA;2928604;Santo Amaro;26,47;17,4;12,66;10,32;
BA;2928703;Santo Antônio de Jesus;27,67;16,83;12,35;8,23999999999999;
BA;2928802;Santo Estêvão;42,31;30,14;21,48;15,13;
BA;2928901;São Desidério;58,12;38,19;25,55;17,88;
BA;2928950;São Domingos;35,82;26,16;22,14;17,24;
BA;2929008;São Félix;37,33;23,1;15,01;12,78;
BA;2929057;São Félix do Coribe;44,56;23,92;16,83;14,28;
BA;2929107;São Felipe;46,23;30,67;22,64;16,49;
BA;2929206;São Francisco do Conde;28,88;16,83;10,1;8,20999999999999;
BA;2929255;São Gabriel;41,15;27,19;19,56;15,03;
BA;2929305;São Gonçalo dos Campos;38,43;22,59;15,03;9,97;
BA;2929354;São José da Vitória;50,06;33,01;28,1;21,7;
BA;2929370;São José do Jacuípe;51,71;36,35;28,56;21,68;
BA;2929404;São Miguel das Matas;44,18;29,37;24,61;18,16;
BA;2929503;São Sebastião do Passé;33,06;19,72;13,74;10,87;
BA;2929602;Sapeaçu;38,49;25,32;15,88;12,96;
BA;2929701;Sátiro Dias;54,42;41,52;30,37;21,26;
BA;2929750;Saubara;32,98;19,21;14,62;11,23;
BA;2929800;Saúde;47,56;31,96;21,74;18,49;
BA;2929909;Seabra;36,42;20,89;16,1;10,83;
BA;2930006;Sebastião Laranjeiras;48,3;33,04;24,78;21,6;
BA;2930105;Senhor do Bonfim;35,24;21,64;16,31;12,55;
BA;2930154;Serra do Ramalho;42,82;32,2;24,77;17,81;
BA;2930204;Sento Sé;51,02;34,27;24,54;18,07;
BA;2930303;Serra Dourada;49,42;32,36;23,85;19,42;
BA;2930402;Serra Preta;49,78;34,33;27,72;20,22;
BA;2930501;Serrinha;33,46;22,73;17,01;12,62;
BA;2930600;Serrolândia;43,92;32,68;22,61;20,57;
BA;2930709;Simões Filho;18,67;11,5;7,9;5,64;
BA;2930758;Sítio do Mato;49,24;29,73;20,89;16,13;
BA;2930766;Sítio do Quinto;66,26;45,11;37,98;28,19;
BA;2930774;Sobradinho;28,58;21,27;18,35;13,16;
BA;2930808;Souto Soares;34,6;25,93;20,74;14,15;
BA;2930907;Tabocas do Brejo Velho;51,4;37,15;29,51;21,88;
BA;2931004;Tanhaçu;51,2;28,35;25,92;21,17;
BA;2931053;Tanque Novo;51,11;35,29;27,81;18,84;
BA;2931103;Tanquinho;36,27;24,85;19,58;13,5;
BA;2931202;Taperoá;58,5;36,76;27,21;19,47;
BA;2931301;Tapiramutá;51,48;35,04;23,61;17,53;
BA;2931350;Teixeira de Freitas;32,74;21,34;14,65;10,32;
BA;2931400;Teodoro Sampaio;38,69;29,4;22,95;15,38;
BA;2931509;Teofilândia;50,32;33,93;24,94;18,88;
BA;2931608;Teolândia;64,5;43,46;30,8;22,66;
BA;2931707;Terra Nova;34,17;19,22;13,08;10,39;
BA;2931806;Tremedal;55,79;42,53;30,61;26,86;
BA;2931905;Tucano;56,35;38,21;29,39;23,04;
BA;2932002;Uauá;47,82;32,18;23,51;19,95;
BA;2932101;Ubaíra;48,34;34,56;29,91;23,58;
BA;2932200;Ubaitaba;40,76;28,42;21,32;15,92;
BA;2932309;Ubatã;44,05;31,18;26,77;16,57;
BA;2932408;Uibaí;28,01;22,29;16,56;11,89;
BA;2932457;Umburanas;56,94;40,28;25,36;20,77;
BA;2932507;Una;47,68;37,36;25,35;17,9;
BA;2932606;Urandi;46,55;28,8;23,24;17,27;
BA;2932705;Uruçuca;49,44;31,85;21,91;18,58;
BA;2932804;Utinga;48,25;29,93;20,97;16,66;
BA;2932903;Valença;40,33;26,56;19,2;14,83;
BA;2933000;Valente;37,01;26,07;16,14;14,91;
BA;2933059;Várzea da Roça;47,69;34,45;28,9;23,21;
BA;2933109;Várzea do Poço;35,49;27,7;23,7;18,24;
BA;2933158;Várzea Nova;49,96;32,24;23,57;19,61;
BA;2933174;Varzedo;50,41;30,73;26,23;19,43;
BA;2933208;Vera Cruz;23,88;15,6;10,76;8,14;
BA;2933257;Vereda;48,78;39,39;30,7;20,59;
BA;2933307;Vitória da Conquista;29,04;19,57;13,31;9,09999999999999;
BA;2933406;Wagner;40,22;29,09;21,58;15,53;
BA;2933455;Wanderley;54,48;37,4;24,77;17,25;
BA;2933505;Wenceslau Guimarães;64,56;47,3;30,47;24,93;
BA;2933604;Xique-Xique;41,85;29,31;22,21;16,81;
BA;2999919;Trancoso;;;;;
BA;2999929;Barcellos;;;;;
BA;2999939;Olivença;;;;;
BA;2999949;Villa Verde;;;;;
CE;2300101;Abaiara;55,78;40,03;29,4;23,16;
CE;2300150;Acarapé;41,14;29,46;21,77;15,97;
CE;2300200;Acaraú;52,64;39,75;28,83;21,25;
CE;2300309;Acopiara;54,8;42,96;32,87;27,27;
CE;2300408;Aiuaba;59,65;43,87;34,14;28,34;
CE;2300507;Alcântaras;52,55;38,65;29,11;19,52;
CE;2300606;Altaneira;55,37;41,73;31,83;22,9;
CE;2300705;Alto Santo;48,91;37,53;30,13;20,33;
CE;2300754;Amontada;49,5;36,57;25,67;19,77;
CE;2300804;Antonina do Norte;52,06;42,93;32,61;26,65;
CE;2300903;Apuiarés;47,52;35,42;26,8;20,28;
CE;2301000;Aquiraz;44,92;31,48;20,83;13,87;
CE;2301109;Aracati;40,83;28,79;20,82;15,34;
CE;2301208;Aracoiaba;55,06;40,77;30,07;23,11;
CE;2301257;Ararendá;55,07;40,43;34,02;22,71;
CE;2301307;Araripe;59,13;44,26;33,54;26,83;
CE;2301406;Aratuba;47,18;35,38;25,35;17,21;
CE;2301505;Arneiroz;52,44;39,24;30,26;24,11;
CE;2301604;Assaré;54,61;44,61;31,68;25,63;
CE;2301703;Aurora;46,3;35,56;28,05;22,45;
CE;2301802;Baixio;45,25;33,95;23,75;21,23;
CE;2301851;Banabuiú;55,01;40,38;30,18;23,8;
CE;2301901;Barbalha;36,51;26,17;18,79;12,39;
CE;2301950;Barreira;47,64;34,04;27,46;20,05;
CE;2302008;Barro;41,99;32,96;23,37;20,7;
CE;2302057;Barroquinha;66,43;47,35;36,5;27,79;
CE;2302107;Baturité;40,47;30,28;22,03;16,39;
CE;2302206;Beberibe;51,14;34,95;26,05;19,97;
CE;2302305;Bela Cruz;48,14;35,3;27,09;19,38;
CE;2302404;Boa Viagem;53,74;42,24;32,57;24,34;
CE;2302503;Brejo Santo;48,19;34,42;22,68;16,02;
CE;2302602;Camocim;48,69;35,49;26,49;18,97;
CE;2302701;Campos Sales;49,57;38,1;29,21;22,65;
CE;2302800;Canindé;47,97;35,42;24,67;19,24;
CE;2302909;Capistrano;52,69;37,76;27,78;20,39;
CE;2303006;Caridade;52,3;37,2;26,83;22,53;
CE;2303105;Cariré;54,35;37,65;30,47;23;
CE;2303204;Caririaçu;55,83;40,28;31,65;23,11;
CE;2303303;Cariús;55,62;39,73;31,79;25,36;
CE;2303402;Carnaubal;53,7;38,75;29,66;21,54;
CE;2303501;Cascavel;45,23;32,53;22,89;16,14;
CE;2303600;Catarina;54,64;37,28;29,44;26,26;
CE;2303659;Catunda;54,18;39,85;30,02;22,87;
CE;2303709;Caucaia;28,52;18,91;12,86;8,42;
CE;2303808;Cedro;47,63;36,12;27,52;22,13;
CE;2303907;Chaval;54,76;39,37;32,47;24,58;
CE;2303931;Choró;62,57;42,23;32,43;24,98;
CE;2303956;Chorozinho;50,78;35,78;28,72;20,42;
CE;2304004;Coreaú;59,26;47,55;36,91;25,99;
CE;2304103;Crateús;42,65;32,91;24,99;17,88;
CE;2304202;Crato;32,6;22,91;14,94;11,6;
CE;2304236;Croatá;58,21;45,27;35,25;26,42;
CE;2304251;Cruz;50,66;35,53;24,64;15,24;
CE;2304269;Deputado Irapuan Pinheiro;55,17;41,51;32,28;26,62;
CE;2304277;Ererê;55,46;41,78;30,73;24,1;
CE;2304285;Eusébio;37,55;23,81;13,49;5,89;
CE;2304301;Farias Brito;54,53;36,14;27,62;24,89;
CE;2304350;Forquilha;51,41;37,44;26,18;18,1;
CE;2304400;Fortaleza;16,73;11,19;6,94;5,62;
CE;2304459;Fortim;57,74;37,2;26,79;19,07;
CE;2304509;Frecheirinha;56;45,43;33,33;23,09;
CE;2304608;General Sampaio;62,83;38,92;32,58;24,72;
CE;2304657;Graça;63,26;47,49;35,69;26,45;
CE;2304707;Granja;62,15;51,43;38,57;28,99;
CE;2304806;Granjeiro;58,17;39,68;30,62;23,06;
CE;2304905;Groaíras;47,1;36,65;25,24;20,24;
CE;2304954;Guaiúba;46,05;33,46;23,07;17,62;
CE;2305001;Guaraciaba do Norte;52,41;38,93;28,43;21,13;
CE;2305100;Guaramiranga;46,06;31,19;17,85;21,37;
CE;2305209;Hidrolândia;46,65;35,39;30,19;21,29;
CE;2305233;Horizonte;47,29;28,18;15,65;11,39;
CE;2305266;Ibaretama;56,27;41,47;34,67;26,28;
CE;2305308;Ibiapina;49,17;34,47;25,48;19,4;
CE;2305332;Ibicuitinga;51,32;36,58;29,34;24,37;
CE;2305357;Icapuí;47,26;33,16;26,07;18,05;
CE;2305407;Icó;52,02;40,37;32,83;25,9;
CE;2305506;Iguatu;42,01;30,79;23,36;17,01;
CE;2305605;Independência;48,83;37,78;28,74;23,36;
CE;2305654;Ipaporanga;54,07;43,02;34,29;23,44;
CE;2305704;Ipaumirim;43,6;30,13;27,32;19,25;
CE;2305803;Ipu;49,95;36,66;28,13;20,91;
CE;2305902;Ipueiras;57,56;39,29;32,03;24,69;
CE;2306009;Iracema;48,43;35,24;26,59;21,65;
CE;2306108;Irauçuba;47,77;38,25;28,01;20,09;
CE;2306207;Itaiçaba;42,26;30,15;22,82;18,39;
CE;2306256;Itaitinga;38,56;25,1;17,2;10,21;
CE;2306306;Itapagé;43,27;30,57;23,36;18,34;
CE;2306405;Itapipoca;47,58;31,58;22,68;15;
CE;2306504;Itapiúna;51,13;37,71;30,42;24,72;
CE;2306553;Itarema;54,65;39,34;26,9;18,26;
CE;2306603;Itatira;56,18;46,31;32,57;24,55;
CE;2306702;Jaguaretama;51,27;35,79;28,53;23,29;
CE;2306801;Jaguaribara;49,35;36,51;25,97;20,1;
CE;2306900;Jaguaribe;44,86;33,24;25,56;18,21;
CE;2307007;Jaguaruana;48,39;35,36;27,15;22,29;
CE;2307106;Jardim;50,3;35,27;26,29;21,01;
CE;2307205;Jati;51,49;35,1;26,25;21,51;
CE;2307254;Jijoca de Jericoacoara;58,68;37,31;23,51;14,26;
CE;2307304;Juazeiro do Norte;36,34;24,95;16,2;10,89;
CE;2307403;Jucás;56,03;37,95;31,18;24,23;
CE;2307502;Lavras da Mangabeira;49,64;36,65;28,88;21,35;
CE;2307601;Limoeiro do Norte;34,44;25,97;19,21;14,28;
CE;2307635;Madalena;51,46;36,89;26,12;20,91;
CE;2307650;Maracanaú;22,9;15,16;9,6;7,20999999999999;
CE;2307700;Maranguape;34,68;23,74;15,39;10,84;
CE;2307809;Marco;53,33;37,98;28,6;17,15;
CE;2307908;Martinópole;54,23;41,25;29,87;21,86;
CE;2308005;Massapê;56,28;43,2;28,49;21,92;
CE;2308104;Mauriti;56,97;40,44;29,51;24,15;
CE;2308203;Meruoca;45,8;33,25;18,71;16,4;
CE;2308302;Milagres;50,51;35,45;28,84;21,11;
CE;2308351;Milhã;50,2;35,7;28,8;18,67;
CE;2308377;Miraíma;56,29;44,42;32,27;21,73;
CE;2308401;Missão Velha;54,25;38,07;28,05;20,56;
CE;2308500;Mombaça;53,76;42,15;34,02;26,57;
CE;2308609;Monsenhor Tabosa;48,99;38,08;29,84;21,37;
CE;2308708;Morada Nova;46,45;35,09;28,22;20,83;
CE;2308807;Moraújo;54,2;39,61;31,98;22,52;
CE;2308906;Morrinhos;48,33;39,01;28,44;21,91;
CE;2309003;Mucambo;49,89;38,51;31,61;24,03;
CE;2309102;Mulungu;46,35;35,47;22,98;15,51;
CE;2309201;Nova Olinda;45,3;34,21;23,3;16,36;
CE;2309300;Nova Russas;48,38;35,98;28,44;20,75;
CE;2309409;Novo Oriente;55,63;47,08;34,07;27,07;
CE;2309458;Ocara;53,2;40,51;30,07;24,06;
CE;2309508;Orós;48,4;35,81;29,69;22,71;
CE;2309607;Pacajus;41,7;27,34;18,26;13,88;
CE;2309706;Pacatuba;24,74;17,48;9,38;8,63;
CE;2309805;Pacoti;45,79;33,71;20,33;16,3;
CE;2309904;Pacujá;45,56;35,21;28,15;20,77;
CE;2310001;Palhano;51;35,12;28,38;22,22;
CE;2310100;Palmácia;44,53;33,76;24,09;17,78;
CE;2310209;Paracuru;40,74;27,09;20,15;14,29;
CE;2310258;Paraipaba;38,03;28,87;19,94;14,2;
CE;2310298;Cococi;;;;;
CE;2310308;Parambu;55,01;44,41;35,09;25,89;
CE;2310407;Paramoti;53,78;41,12;29,78;21,75;
CE;2310506;Pedra Branca;59,69;46,32;33,19;23,51;
CE;2310605;Penaforte;40,07;26,83;22,17;15,32;
CE;2310704;Pentecoste;44,18;34,5;24,8;18,06;
CE;2310803;Pereiro;51,49;40,07;29,57;20,53;
CE;2310852;Pindoretama;43,34;29,93;21,7;15,85;
CE;2310902;Piquet Carneiro;50,85;36,99;26,34;19,68;
CE;2310951;Pires Ferreira;54,19;43,28;29,94;22,86;
CE;2311009;Poranga;61,97;46,16;33,97;22,5;
CE;2311108;Porteiras;55,55;39,64;29,17;21,1;
CE;2311207;Potengi;55,98;47,29;34,52;25,95;
CE;2311231;Potiretama;51,38;40,04;29,11;22,85;
CE;2311264;Quiterianópolis;53,76;41,21;32,81;25,53;
CE;2311306;Quixadá;40,88;31,59;22,94;17,41;
CE;2311355;Quixelô;56,43;43,8;36,7;29,12;
CE;2311405;Quixeramobim;45,83;35,33;24,2;17,77;
CE;2311504;Quixeré;48,25;37,51;26,03;21,65;
CE;2311603;Redenção;45,28;30,68;24,32;17;
CE;2311702;Reriutaba;51,2;39,62;29,25;21,73;
CE;2311801;Russas;36,66;26,52;19,59;15,45;
CE;2311900;Saboeiro;62,31;47,6;33,5;27,7;
CE;2311959;Salitre;68,52;51,56;39,98;28,15;
CE;2312007;Santana do Acaraú;52,22;38,8;29,56;23,47;
CE;2312106;Santana do Cariri;55,76;39,31;30;22,81;
CE;2312205;Santa Quitéria;51,7;37,2;27,43;21,14;
CE;2312304;São Benedito;52,41;36,83;27,09;20,19;
CE;2312403;São Gonçalo do Amarante;44,02;30,02;20,12;12,27;
CE;2312502;São João do Jaguaribe;38;29,12;25,8;20,34;
CE;2312601;São Luís do Curu;38,71;31,06;22,37;16,8;
CE;2312700;Senador Pompeu;45,77;35,56;27,06;21,37;
CE;2312809;Senador Sá;53,54;42,82;33,16;25,04;
CE;2312908;Sobral;38,63;26,47;17;12,88;
CE;2313005;Solonópole;44,93;34,36;26,22;21,68;
CE;2313104;Tabuleiro do Norte;42,64;30,29;22,54;18,83;
CE;2313203;Tamboril;52,74;40,16;32,97;25,1;
CE;2313252;Tarrafas;59,19;37,38;35,51;26,69;
CE;2313302;Tauá;48,9;38,57;27,34;20,61;
CE;2313351;Tejuçuoca;55,92;35,63;27,78;23,36;
CE;2313401;Tianguá;50,36;35,69;24,02;16,75;
CE;2313500;Trairi;49,77;34,49;23,62;18,49;
CE;2313559;Tururu;50,85;39,36;28;21,7;
CE;2313609;Ubajara;47,44;35,79;24,57;18,03;
CE;2313708;Umari;48,82;36,63;32,46;23,76;
CE;2313757;Umirim;51,09;40,43;28,47;21,28;
CE;2313807;Uruburetama;42,27;33,15;22,85;18,01;
CE;2313906;Uruoca;61,09;45,53;36,46;24,89;
CE;2313955;Varjota;45,54;34,16;26,67;19,76;
CE;2314003;Várzea Alegre;48,13;36,83;28,56;21,55;
CE;2314102;Viçosa do Ceará;61,21;45,31;31,42;22,9;
CE;2399919;Entre Rios;;;;;
CE;2399929;Mecejana;;;;;
CE;2399939;Vertentes;;;;;
MA;2100055;Açailândia;39;24,87;17,69;12,86;
MA;2100105;Afonso Cunha;61,02;42,22;34,64;23,22;
MA;2100154;Água Doce do Maranhão;68,81;41,24;36,03;25,7;
MA;2100204;Alcântara;48,65;30,26;22,44;18,48;
MA;2100303;Aldeias Altas;67,96;49,08;37,68;28,46;
MA;2100402;Altamira do Maranhão;56,62;40,75;32,98;24,7;
MA;2100436;Alto Alegre do Maranhão;66,28;43,42;29,28;23,75;
MA;2100477;Alto Alegre do Pindaré;67,27;46,33;32,25;22,16;
MA;2100501;Alto Parnaíba;34,7;23,31;21,22;12,94;
MA;2100550;Amapá do Maranhão;59,93;39,39;33,27;20,76;
MA;2100600;Amarante do Maranhão;54,26;32,83;28,41;19,6;
MA;2100709;Anajatuba;54,31;34,57;27,31;21,98;
MA;2100808;Anapurus;59;39,41;29,9;21,71;
MA;2100832;Apicum-Açu;44,94;29,31;18,69;15,55;
MA;2100873;Araguanã;51,89;39,55;28,15;20,15;
MA;2100907;Araioses;64,46;48,3;33,7;27,62;
MA;2100956;Arame;62,06;42,49;33,02;24,99;
MA;2101004;Arari;41,05;29,47;22,02;15,54;
MA;2101103;Axixá;29,81;21,03;16,37;12,5;
MA;2101202;Bacabal;39,56;28,84;21,4;14,87;
MA;2101251;Bacabeira;44,15;28,18;18,3;14,02;
MA;2101301;Bacuri;47,93;33,55;23,66;19,07;
MA;2101350;Bacurituba;58,02;35,57;23,9;16,98;
MA;2101400;Balsas;33,06;20;12,92;8,41;
MA;2101509;Barão de Grajaú;54,59;33,66;22,7;16,52;
MA;2101608;Barra do Corda;47,38;33,89;27,71;20,24;
MA;2101707;Barreirinhas;53,15;40,89;25,37;16,89;
MA;2101731;Belágua;67,55;52,81;39,2;23,65;
MA;2101772;Bela Vista do Maranhão;57,85;36,88;29,44;20,51;
MA;2101806;Benedito Leite;51,95;34,29;29,24;21,56;
MA;2101905;Bequimão;39,47;28,48;24,22;18,53;
MA;2101939;Bernardo do Mearim;53,49;37,3;26,78;17,67;
MA;2101970;Boa Vista do Gurupi;39,81;30,64;23,74;19,1;
MA;2102002;Bom Jardim;60,88;44,88;31,79;24,93;
MA;2102036;Bom Jesus das Selvas;64,75;39,86;27,35;22,33;
MA;2102077;Bom Lugar;60,63;42,32;32,11;26,89;
MA;2102101;Brejo;55,01;39,33;29,92;23,18;
MA;2102150;Brejo de Areia;70,36;47,54;35,08;25,42;
MA;2102200;Buriti;59,16;39,82;30,27;23,64;
MA;2102309;Buriti Bravo;53,74;38,08;30,42;23,43;
MA;2102325;Buriticupu;52,33;38,7;26,9;20,55;
MA;2102358;Buritirana;55,03;38,41;28,45;20,55;
MA;2102374;Cachoeira Grande;59,32;42,35;30,41;22,2;
MA;2102408;Cajapió;57,27;35,95;25,58;20,21;
MA;2102507;Cajari;49,02;24,58;21,74;14,65;
MA;2102556;Campestre do Maranhão;49,2;30,54;21,26;15,55;
MA;2102606;Cândido Mendes;38,05;27,66;21,4;17,13;
MA;2102705;Cantanhede;56,84;37,83;28,86;17,05;
MA;2102754;Capinzal do Norte;58,5;40,44;32,19;24,83;
MA;2102804;Carolina;32,12;25,7;15,13;12,25;
MA;2102903;Carutapera;35,4;28,04;19,64;14,3;
MA;2103000;Caxias;45,81;33,76;25,75;17,52;
MA;2103109;Cedral;27,12;21,22;17,14;13,2;
MA;2103125;Central do Maranhão;58,07;33,9;26,73;20,74;
MA;2103158;Centro do Guilherme;61,28;39,42;28,8;20,14;
MA;2103174;Centro Novo do Maranhão;60,16;44,21;25,34;20,27;
MA;2103208;Chapadinha;49,82;36,69;25,42;19,12;
MA;2103257;Cidelândia;52,7;32,84;24,29;19,05;
MA;2103307;Codó;53,98;40,62;30,47;22,3;
MA;2103406;Coelho Neto;46,36;35,8;28,95;21,54;
MA;2103505;Colinas;49,98;38,25;29,83;21,71;
MA;2103554;Conceição do Lago-Açu;67,1;40,5;34,88;23,01;
MA;2103604;Coroatá;56,65;41,18;32,2;23,76;
MA;2103703;Cururupu;31,68;20,61;17,41;14,51;
MA;2103752;Davinópolis;49,14;31,35;25,01;14,26;
MA;2103802;Dom Pedro;39,31;30,62;24,23;16,25;
MA;2103901;Duque Bacelar;55,7;46,52;31,97;26,69;
MA;2104008;Esperantinópolis;53,4;36,97;30,88;21,17;
MA;2104057;Estreito;35,23;21,9;15,18;11,49;
MA;2104073;Feira Nova do Maranhão;41,38;32,61;19,75;16,06;
MA;2104081;Fernando Falcão;60,59;53,84;38,03;26,23;
MA;2104099;Formosa da Serra Negra;46;28,06;18,49;14,08;
MA;2104107;Fortaleza dos Nogueiras;30,99;23,84;15,94;10,94;
MA;2104206;Fortuna;46,13;39,73;30,51;20,48;
MA;2104305;Godofredo Viana;37,11;29,56;16,95;13,45;
MA;2104404;Gonçalves Dias;55,71;39,1;34,75;24,23;
MA;2104503;Governador Archer;55,04;39,46;31,48;20,92;
MA;2104552;Governador Edison Lobão;46,77;27,89;19,63;15,42;
MA;2104602;Governador Eugênio Barros;58,67;42,09;35,9;23,95;
MA;2104628;Governador Luiz Rocha;67,41;39,95;30,85;22,51;
MA;2104651;Governador Newton Bello;64,46;45,73;36,23;18,61;
MA;2104677;Governador Nunes Freire;52,59;39,23;25,39;18,04;
MA;2104701;Graça Aranha;48,33;33,73;30,1;20,64;
MA;2104800;Grajaú;44,09;33,92;22,14;17,16;
MA;2104909;Guimarães;25,93;16,22;15,79;11,05;
MA;2105005;Humberto de Campos;51,47;29,93;23,6;18,43;
MA;2105104;Icatu;49,19;31,51;22,13;17,95;
MA;2105153;Igarapé do Meio;66,66;43,12;28,4;21,26;
MA;2105203;Igarapé Grande;44,07;33,34;28,55;23,37;
MA;2105302;Imperatriz;25,15;16,01;10,87;6,78;
MA;2105351;Itaipava do Grajaú;68,46;49,5;34,13;25,45;
MA;2105401;Itapecuru Mirim;51,6;36,75;27,09;18,01;
MA;2105427;Itinga do Maranhão;45,15;27,65;23,48;14,88;
MA;2105450;Jatobá;60,01;43,03;32,4;22,36;
MA;2105476;Jenipapo dos Vieiras;62,57;47,24;34,07;27,91;
MA;2105500;João Lisboa;45,78;30,55;22,32;14,81;
MA;2105609;Joselândia;57,23;43,29;33,69;24,94;
MA;2105658;Junco do Maranhão;50,26;37,49;27,16;19,63;
MA;2105708;Lago da Pedra;54,25;39,73;30,58;23,79;
MA;2105807;Lago do Junco;56,68;40;32,97;25,41;
MA;2105906;Lago Verde;57,04;43,16;33,02;26,67;
MA;2105922;Lagoa do Mato;61,16;42,12;33,04;22,76;
MA;2105948;Lago dos Rodrigues;53,36;37,97;30,06;23,8;
MA;2105963;Lagoa Grande do Maranhão;68,54;48,82;35,34;28,55;
MA;2105989;Lajeado Novo;44,53;26,84;18,57;16,37;
MA;2106003;Lima Campos;52,38;40,39;31,05;21,7;
MA;2106102;Loreto;39,51;28,93;22,29;13,44;
MA;2106201;Luís Domingues;35,39;25,07;19,44;13,97;
MA;2106300;Magalhães de Almeida;52,22;40,38;30,45;23,76;
MA;2106326;Maracaçumé;44,28;33,17;25,47;18,21;
MA;2106359;Marajá do Sena;66,9;51,17;39,98;28,73;
MA;2106375;Maranhãozinho;50,64;40,4;27,58;22,48;
MA;2106409;Mata Roma;51,79;38,26;28,48;20,97;
MA;2106508;Matinha;37,49;24,21;18,79;15,33;
MA;2106607;Matões;63,8;45,88;35,77;24,61;
MA;2106631;Matões do Norte;71,48;51,45;34,03;19,2;
MA;2106672;Milagres do Maranhão;67,36;42,61;35,38;29,34;
MA;2106706;Mirador;53,02;39,19;29,53;23,95;
MA;2106755;Miranda do Norte;44,02;30,12;21,08;14,45;
MA;2106805;Mirinzal;37,28;23,38;16,7;12,26;
MA;2106904;Monção;52,08;36,16;27,56;20,45;
MA;2107001;Montes Altos;46,06;26,89;19,77;15,88;
MA;2107100;Morros;55,22;37,59;29,78;18,77;
MA;2107209;Nina Rodrigues;62,2;38,41;28,43;19,63;
MA;2107258;Nova Colinas;49,83;28,13;22,53;17,67;
MA;2107308;Nova Iorque;47,56;36,98;30,8;19,43;
MA;2107357;Nova Olinda do Maranhão;48,7;36,48;27,87;21,33;
MA;2107407;Olho d'Água das Cunhãs;59,11;43,38;34,43;26,18;
MA;2107456;Olinda Nova do Maranhão;52,19;29,07;25,88;18,55;
MA;2107506;Paço do Lumiar;14,71;9,6;5,76;4,13;
MA;2107605;Palmeirândia;48,48;32,48;26,15;19,84;
MA;2107704;Paraibano;53,75;37,76;30,64;23,62;
MA;2107803;Parnarama;62,11;44,05;35,89;25,7;
MA;2107902;Passagem Franca;54,27;42,13;35,41;25,13;
MA;2108009;Pastos Bons;44,28;32,25;24,41;17,09;
MA;2108058;Paulino Neves;66,84;44,81;30,06;21,08;
MA;2108108;Paulo Ramos;57,81;45,2;36,33;26,79;
MA;2108207;Pedreiras;36,99;26,38;19,23;15,3;
MA;2108256;Pedro do Rosário;55,67;40,03;28,65;20,42;
MA;2108306;Penalva;45,6;28,41;20,8;16,81;
MA;2108405;Peri Mirim;40,43;28,4;22,49;15,32;
MA;2108454;Peritoró;61,04;45,59;36,67;25,05;
MA;2108504;Pindaré-Mirim;39,21;28,36;20,06;15,73;
MA;2108603;Pinheiro;34,19;24,24;17,8;14,09;
MA;2108702;Pio XII;55,24;42,58;31,5;24,87;
MA;2108801;Pirapemas;57,91;42,39;30,09;23,54;
MA;2108900;Poção de Pedras;55,63;38,62;31,61;25,34;
MA;2109007;Porto Franco;35,26;23,32;15,4;10,95;
MA;2109056;Porto Rico do Maranhão;33,88;20,67;15,45;13,02;
MA;2109106;Presidente Dutra;39,67;30,17;21,59;16,27;
MA;2109205;Presidente Juscelino;52,91;40,1;28,34;20,7;
MA;2109239;Presidente Médici;46,31;35,87;25,72;18,8;
MA;2109270;Presidente Sarney;54,12;37,91;30,36;20,35;
MA;2109304;Presidente Vargas;63,34;41,88;28,75;19,71;
MA;2109403;Primeira Cruz;43,63;34,8;26,12;20,31;
MA;2109452;Raposa;35,38;23,02;15,27;10,28;
MA;2109502;Riachão;40,88;31,17;20,09;15,01;
MA;2109551;Ribamar Fiquene;58,25;27;21,84;16,53;
MA;2109601;Rosário;38,05;25,45;18,1;13,4;
MA;2109700;Sambaíba;44,5;29,81;22,05;19,7;
MA;2109759;Santa Filomena do Maranhão;58,23;43,97;31,5;23,61;
MA;2109809;Santa Helena;46,64;29,09;22,82;17,83;
MA;2109908;Santa Inês;34,15;24,26;17,59;12,41;
MA;2110005;Santa Luzia;55,18;42,71;33,3;23,08;
MA;2110039;Santa Luzia do Paruá;46,07;34,84;23,86;16,07;
MA;2110104;Santa Quitéria do Maranhão;57,9;38,97;32,83;24,09;
MA;2110203;Santa Rita;50,33;31,64;22,12;15,58;
MA;2110237;Santana do Maranhão;69,43;49,14;34,33;28,2;
