Sigla;codigo;municipio;esperanca_vida
MA;2103125;Central do Maranhão;67.79
MA;2103158;Centro do Guilherme;67.44
MA;2103174;Centro Novo do Maranhão;68.01
MA;2103208;Chapadinha;71.21
MA;2103257;Cidelândia;68.7
MA;2103307;Codó;70.22
MA;2103406;Coelho Neto;68.67
MA;2103505;Colinas;67.52
MA;2103554;Conceição do Lago-Açu;69.26
MA;2103604;Coroatá;69.21
MA;2103703;Cururupu;71.06
MA;2103752;Davinópolis;69.84
MA;2103802;Dom Pedro;70.52
MA;2103901;Duque Bacelar;66.56
MA;2104008;Esperantinópolis;67.76
MA;2104057;Estreito;73.02
MA;2104073;Feira Nova do Maranhão;68.73
MA;2104081;Fernando Falcão;68.67
MA;2104099;Formosa da Serra Negra;71.41
MA;2104107;Fortaleza dos Nogueiras;71.38
MA;2104206;Fortuna;67.33
MA;2104305;Godofredo Viana;70.02
MA;2104404;Gonçalves Dias;70.46
MA;2104503;Governador Archer;66.21
MA;2104552;Governador Edison Lobão;70.84
MA;2104602;Governador Eugênio Barros;69.15
MA;2104628;Governador Luiz Rocha;66.51
MA;2104651;Governador Newton Bello;68.07
MA;2104677;Governador Nunes Freire;68.29
MA;2104701;Graça Aranha;69.86
MA;2104800;Grajaú;70.21
MA;2104909;Guimarães;71.31
MA;2105005;Humberto de Campos;70.55
MA;2105104;Icatu;68.59
MA;2105153;Igarapé do Meio;66.21
MA;2105203;Igarapé Grande;69.83
MA;2105302;Imperatriz;73.17
MA;2105351;Itaipava do Grajaú;68.58
MA;2105401;Itapecuru Mirim;69.81
MA;2105427;Itinga do Maranhão;70.85
MA;2105450;Jatobá;67.1
MA;2105476;Jenipapo dos Vieiras;70.96
MA;2105500;João Lisboa;72.07
MA;2105609;Joselândia;69.59
MA;2105658;Junco do Maranhão;66.39
MA;2105708;Lago da Pedra;68.45
MA;2105807;Lago do Junco;69.47
MA;2105906;Lago Verde;68.86
MA;2105922;Lagoa do Mato;68.58
MA;2105948;Lago dos Rodrigues;69.22
MA;2105963;Lagoa Grande do Maranhão;68.86
MA;2105989;Lajeado Novo;69.29
MA;2106003;Lima Campos;67.29
MA;2106102;Loreto;71.27
MA;2106201;Luís Domingues;69.05
MA;2106300;Magalhães de Almeida;68.72
MA;2106326;Maracaçumé;68.14
MA;2106359;Marajá do Sena;71.44
MA;2106375;Maranhãozinho;68.15
MA;2106409;Mata Roma;71.56
MA;2106508;Matinha;68.88
MA;2106607;Matões;69.34
MA;2106631;Matões do Norte;71.1
MA;2106672;Milagres do Maranhão;70.85
MA;2106706;Mirador;69.39
MA;2106755;Miranda do Norte;70.04
MA;2106805;Mirinzal;70.33
MA;2106904;Monção;67.23
MA;2107001;Montes Altos;68.91
MA;2107100;Morros;67.34
MA;2107209;Nina Rodrigues;71.45
MA;2107258;Nova Colinas;69.96
MA;2107308;Nova Iorque;68.74
MA;2107357;Nova Olinda do Maranhão;70.32
MA;2107407;Olho d'Água das Cunhãs;70.24
MA;2107456;Olinda Nova do Maranhão;68.43
MA;2107506;Paço do Lumiar;72.74
MA;2107605;Palmeirândia;67.9
MA;2107704;Paraibano;68.37
MA;2107803;Parnarama;70.5
MA;2107902;Passagem Franca;68.04
MA;2108009;Pastos Bons;70.18
MA;2108058;Paulino Neves;68.18
MA;2108108;Paulo Ramos;65.64
MA;2108207;Pedreiras;72.49
MA;2108256;Pedro do Rosário;66.77
MA;2108306;Penalva;66.57
MA;2108405;Peri Mirim;69.61
MA;2108454;Peritoró;71.44
MA;2108504;Pindaré-Mirim;70.3
MA;2108603;Pinheiro;71.26
MA;2108702;Pio XII;68.64
MA;2108801;Pirapemas;69.47
MA;2108900;Poção de Pedras;68.91
MA;2109007;Porto Franco;72.74
MA;2109056;Porto Rico do Maranhão;71.31
MA;2109106;Presidente Dutra;72.3
MA;2109205;Presidente Juscelino;69.6
MA;2109239;Presidente Médici;70.69
MA;2109270;Presidente Sarney;70.13
MA;2109304;Presidente Vargas;71.1
MA;2109403;Primeira Cruz;68.29
MA;2109452;Raposa;69.11
MA;2109502;Riachão;70.43
MA;2109551;Ribamar Fiquene;69.65
MA;2109601;Rosário;70.11
MA;2109700;Sambaíba;68.66
MA;2109759;Santa Filomena do Maranhão;68.31
MA;2109809;Santa Helena;69.73
MA;2109908;Santa Inês;72.25
MA;2110005;Santa Luzia;67.02
MA;2110039;Santa Luzia do Paruá;68.4
MA;2110104;Santa Quitéria do Maranhão;70.61
MA;2110203;Santa Rita;69.59
MA;2110237;Santana do Maranhão;70.45
MA;2110278;Santo Amaro do Maranhão;69.27
MA;2110302;Santo Antônio dos Lopes;67.86
MA;2110401;São Benedito do Rio Preto;69.95
MA;2110500;São Bento;70.72
MA;2110609;São Bernardo;70.7
MA;2110658;São Domingos do Azeitão;68.92
MA;2110708;São Domingos do Maranhão;67.76
MA;2110807;São Félix de Balsas;71.65
MA;2110856;São Francisco do Brejão;69.86
MA;2110906;São Francisco do Maranhão;68.96
MA;2111003;São João Batista;70.09
MA;2111029;São João do Carú;66.01
MA;2111052;São João do Paraíso;70.16
MA;2111078;São João do Soter;67.63
MA;2111102;São João dos Patos;68.55
MA;2111201;São José de Ribamar;72.38
MA;2111250;São José dos Basílios;68.13
MA;2111300;São Luís;73.76
MA;2111409;São Luís Gonzaga do Maranhão;67.94
MA;2111508;São Mateus do Maranhão;68.37
MA;2111532;São Pedro da Água Branca;69.09
MA;2111573;São Pedro dos Crentes;69.29
MA;2111607;São Raimundo das Mangabeiras;69.96
MA;2111631;São Raimundo do Doca Bezerra;66.99
MA;2111672;São Roberto;69.27
MA;2111706;São Vicente Ferrer;70.72
MA;2111722;Satubinha;68.19
MA;2111748;Senador Alexandre Costa;66.32
MA;2111763;Senador La Rocque;69.6
MA;2111789;Serrano do Maranhão;69.12
MA;2111805;Sítio Novo;71.41
MA;2111904;Sucupira do Norte;68.87
MA;2111953;Sucupira do Riachão;70.63
MA;2112001;Tasso Fragoso;71.6
MA;2112100;Timbiras;68.78
MA;2112209;Timon;71.09
MA;2112233;Trizidela do Vale;69.29
MA;2112274;Tufilândia;67.56
MA;2112308;Tuntum;68.57
MA;2112407;Turiaçu;71.54
MA;2112456;Turilândia;71.45
MA;2112506;Tutóia;68.33
MA;2112605;Urbano Santos;71.21
MA;2112704;Vargem Grande;71.1
MA;2112803;Viana;70.47
MA;2112852;Vila Nova dos Martírios;68.09
MA;2112902;Vitória do Mearim;68.97
MA;2113009;Vitorino Freire;66.26
MA;2114007;Zé Doca;69.7
PB;2500106;Água Branca;67.72
PB;2500205;Aguiar;70.17
PB;2500304;Alagoa Grande;72.83
PB;2500403;Alagoa Nova;69.93
PB;2500502;Alagoinha;72.72
PB;2500536;Alcantil;70.91
PB;2500577;Algodão de Jandaíra;69.93
PB;2500601;Alhandra;71.69
PB;2500700;São João do Rio do Peixe;71.94
PB;2500734;Amparo;70.14
PB;2500775;Aparecida;69.79
PB;2500809;Araçagi;69.7
PB;2500908;Arara;67.69
PB;2501005;Araruna;70.45
PB;2501104;Areia;70.34
PB;2501153;Areia de Baraúnas;65.81
PB;2501203;Areial;71.75
PB;2501302;Aroeiras;69.71
PB;2501351;Assunção;69.3
PB;2501401;Baía da Traição;68.84
PB;2501500;Bananeiras;70.98
PB;2501534;Baraúna;68.05
PB;2501575;Barra de Santana;69.81
PB;2501609;Barra de Santa Rosa;70.2
PB;2501708;Barra de São Miguel;68.7
PB;2501807;Bayeux;71.73
PB;2501906;Belém;70.55
PB;2502003;Belém do Brejo do Cruz;71.72
PB;2502052;Bernardino Batista;67.96
PB;2502102;Boa Ventura;72.38
PB;2502151;Boa Vista;72.73
PB;2502201;Bom Jesus;70.72
PB;2502300;Bom Sucesso;70.14
PB;2502409;Bonito de Santa Fé;72.18
PB;2502508;Boqueirão;70.79
PB;2502607;Igaracy;72.65
PB;2502706;Borborema;69.99
PB;2502805;Brejo do Cruz;72.85
PB;2502904;Brejo dos Santos;71.58
PB;2503001;Caaporã;70.41
PB;2503100;Cabaceiras;70.54
PB;2503209;Cabedelo;74.31
PB;2503308;Cachoeira dos Índios;70.95
PB;2503407;Cacimba de Areia;71.25
PB;2503506;Cacimba de Dentro;71.59
PB;2503555;Cacimbas;65.3
PB;2503605;Caiçara;68.96
PB;2503704;Cajazeiras;73.87
PB;2503753;Cajazeirinhas;71.35
PB;2503803;Caldas Brandão;68.39
PB;2503902;Camalaú;71.18
PB;2504009;Campina Grande;73.73
PB;2504033;Capim;68.69
PB;2504074;Caraúbas;67.61
PB;2504108;Carrapateira;70.91
PB;2504157;Casserengue;68.81
PB;2504207;Catingueira;70.17
PB;2504306;Catolé do Rocha;72.23
PB;2504355;Caturité;71.91
PB;2504405;Conceição;70.23
PB;2504504;Condado;71.16
PB;2504603;Conde;72.84
PB;2504702;Congo;68.85
PB;2504801;Coremas;72.65
PB;2504850;Coxixola;72.63
PB;2504900;Cruz do Espírito Santo;71.66
PB;2505006;Cubati;69.51
PB;2505105;Cuité;70.96
PB;2505204;Cuitegi;68.94
PB;2505238;Cuité de Mamanguape;65.96
PB;2505279;Curral de Cima;67.89
PB;2505303;Curral Velho;69.36
PB;2505352;Damião;68.2
PB;2505402;Desterro;68.43
PB;2505501;Vista Serrana;71.35
PB;2505600;Diamante;69.89
PB;2505709;Dona Inês;66.41
PB;2505808;Duas Estradas;72.72
PB;2505907;Emas;71.38
PB;2506004;Esperança;71.04
PB;2506103;Fagundes;69.91
PB;2506202;Frei Martinho;71.18
PB;2506251;Gado Bravo;69.22
PB;2506301;Guarabira;73.73
PB;2506400;Gurinhém;68.67
PB;2506509;Gurjão;68.76
PB;2506608;Ibiara;71.08
PB;2506707;Imaculada;67.87
PB;2506806;Ingá;71.07
PB;2506905;Itabaiana;68.63
PB;2507002;Itaporanga;69.54
PB;2507101;Itapororoca;70.41
PB;2507200;Itatuba;69.51
PB;2507309;Jacaraú;68.18
PB;2507408;Jericó;72.85
PB;2507507;João Pessoa;74.89
PB;2507606;Juarez Távora;71.06
PB;2507705;Juazeirinho;70.2
PB;2507804;Junco do Seridó;67.91
PB;2507903;Juripiranga;65.64
PB;2508000;Juru;70.45
PB;2508109;Lagoa;69.81
PB;2508208;Lagoa de Dentro;71.3
PB;2508307;Lagoa Seca;71.15
PB;2508406;Lastro;69.83
PB;2508505;Livramento;68.94
PB;2508554;Logradouro;71.56
PB;2508604;Lucena;69.03
PB;2508703;Mãe d'Água;67.7
PB;2508802;Malta;73.01
PB;2508901;Mamanguape;70.33
PB;2509008;Manaíra;66.85
PB;2509057;Marcação;66.43
PB;2509107;Mari;66.5
PB;2509156;Marizópolis;70.16
PB;2509206;Massaranduba;69.8
PB;2509305;Mataraca;65.49
PB;2509339;Matinhas;69.81
PB;2509370;Mato Grosso;70.62
PB;2509396;Maturéia;68.79
PB;2509404;Mogeiro;68.94
PB;2509503;Montadas;69.85
PB;2509602;Monte Horebe;70.29
PB;2509701;Monteiro;67.51
PB;2509800;Mulungu;71.65
PB;2509909;Natuba;67.61
PB;2510006;Nazarezinho;69.83
PB;2510105;Nova Floresta;70.45
PB;2510204;Nova Olinda;69.61
PB;2510303;Nova Palmeira;70.73
PB;2510402;Olho d'Água;71.53
PB;2510501;Olivedos;70.96
PB;2510600;Ouro Velho;70.86
PB;2510659;Parari;68.98
PB;2510709;Passagem;72.41
PB;2510808;Patos;74.26
PB;2510907;Paulista;69.79
PB;2511004;Pedra Branca;70.68
PB;2511103;Pedra Lavrada;68.96
PB;2511202;Pedras de Fogo;71.23
PB;2511301;Piancó;69.17
PB;2511400;Picuí;69.7
PB;2511509;Pilar;71.52
PB;2511608;Pilões;70.99
PB;2511707;Pilõezinhos;73.14
PB;2511806;Pirpirituba;69.69
PB;2511905;Pitimbu;70.2
PB;2512002;Pocinhos;71.73
PB;2512036;Poço Dantas;67.14
PB;2512077;Poço de José de Moura;72.82
PB;2512101;Pombal;72.22
PB;2512200;Prata;71.31
PB;2512309;Princesa Isabel;68.19
PB;2512408;Puxinanã;70.23
PB;2512507;Queimadas;72.73
PB;2512606;Quixabá;69.2
PB;2512705;Remígio;72.83
PB;2512721;Pedro Régis;70.21
PB;2512747;Riachão;70.75
PB;2512754;Riachão do Bacamarte;68.26
PB;2512762;Riachão do Poço;69.89
PB;2512788;Riacho de Santo Antônio;69.12
PB;2512804;Riacho dos Cavalos;70.14
PB;2512903;Rio Tinto;69.51
PB;2513000;Salgadinho;69.31
PB;2513109;Salgado de São Félix;71.2
PB;2513158;Santa Cecília;66.94
PB;2513208;Santa Cruz;71.73
PB;2513307;Santa Helena;72.16
PB;2513356;Santa Inês;67.35
PB;2513406;Santa Luzia;73.23
PB;2513505;Santana de Mangueira;70.36
PB;2513604;Santana dos Garrotes;71.3
PB;2513653;Santarém;70.91
PB;2513703;Santa Rita;71.43
PB;2513802;Santa Teresinha;74.19
PB;2513851;Santo André;72.79
PB;2513901;São Bento;71.16
PB;2513927;São Bentinho;72.22
PB;2513943;São Domingos do Cariri;71.38
PB;2513968;São Domingos de Pombal;70.21
PB;2513984;São Francisco;68.58
PB;2514008;São João do Cariri;72.79
PB;2514107;São João do Tigre;70.45
PB;2514206;São José da Lagoa Tapada;68.34
PB;2514305;São José de Caiana;70.7
PB;2514404;São José de Espinharas;72.41
PB;2514453;São José dos Ramos;69.26
PB;2514503;São José de Piranhas;70.31
PB;2514552;São José de Princesa;70.89
PB;2514602;São José do Bonfim;67.76
PB;2514651;São José do Brejo do Cruz;71.58
PB;2514701;São José do Sabugi;71.88
PB;2514800;São José dos Cordeiros;71.69
PB;2514909;São Mamede;70.87
PB;2515005;São Miguel de Taipu;68.26
PB;2515104;São Sebastião de Lagoa de Roça;72.67
PB;2515203;São Sebastião do Umbuzeiro;70.8
PB;2515302;Sapé;67.64
PB;2515401;Seridó;67.83
PB;2515500;Serra Branca;71.22
PB;2515609;Serra da Raiz;72.5
PB;2515708;Serra Grande;69.69
PB;2515807;Serra Redonda;71.3
PB;2515906;Serraria;71.71
PB;2515930;Sertãozinho;71.16
PB;2515971;Sobrado;70.17
PB;2516003;Solânea;70.69
PB;2516102;Soledade;71.31
PB;2516151;Sossêgo;71.13
PB;2516201;Sousa;73.84
PB;2516300;Sumé;70.88
PB;2516409;Campo de Santana;68.58
PB;2516508;Taperoá;69.92
PB;2516607;Tavares;71.59
PB;2516706;Teixeira;69.46
PB;2516755;Tenório;67.43
PB;2516805;Triunfo;71.79
PB;2516904;Uiraúna;72.82
PB;2517001;Umbuzeiro;67.69
PB;2517100;Várzea;73.01
PB;2517209;Vieirópolis;70.7
PB;2517407;Zabelê;68.48
PE;2600054;Abreu e Lima;72.46
PE;2600104;Afogados da Ingazeira;73.39
PE;2600203;Afrânio;70.68
PE;2600302;Agrestina;70.57
PE;2600401;Água Preta;70.64
PE;2600500;Águas Belas;66.44
PE;2600609;Alagoinha;73.04
PE;2600708;Aliança;72.93
PE;2600807;Altinho;72.54
PE;2600906;Amaraji;69.89
PE;2601003;Angelim;70.08
PE;2601052;Araçoiaba;70.87
PE;2601102;Araripina;72.12
PE;2601201;Arcoverde;72.95
PE;2601300;Barra de Guabiraba;68.54
PE;2601409;Barreiros;68.82
PE;2601508;Belém de Maria;69.95
PE;2601607;Belém de São Francisco;72.06
PE;2601706;Belo Jardim;71.95
PE;2601805;Betânia;69.53
PE;2601904;Bezerros;70.1
PE;2602001;Bodocó;69.67
PE;2602100;Bom Conselho;67.22
PE;2602209;Bom Jardim;70.99
PE;2602308;Bonito;70.26
PE;2602407;Brejão;68.51
PE;2602506;Brejinho;65.84
PE;2602605;Brejo da Madre de Deus;69.06
PE;2602704;Buenos Aires;71.66
PE;2602803;Buíque;69.75
PE;2602902;Cabo de Santo Agostinho;73.74
PE;2603009;Cabrobó;71.39
PE;2603108;Cachoeirinha;70.18
PE;2603207;Caetés;68.94
PE;2603306;Calçado;68.84
PE;2603405;Calumbi;67.9
PE;2603454;Camaragibe;73.28
PE;2603504;Camocim de São Félix;69.25
PE;2603603;Camutanga;70.58
PE;2603702;Canhotinho;68.48
PE;2603801;Capoeiras;69.74
PE;2603900;Carnaíba;68.62
PE;2603926;Carnaubeira da Penha;70.3
PE;2604007;Carpina;73.36
PE;2604106;Caruaru;72.96
PE;2604155;Casinhas;68.25
PE;2604205;Catende;70.59
PE;2604304;Cedro;68
PE;2604403;Chã de Alegria;70.69
PE;2604502;Chã Grande;73.18
PE;2604601;Condado;67.79
PE;2604700;Correntes;68.57
PE;2604809;Cortês;67.42
PE;2604908;Cumaru;68.18
PE;2605004;Cupira;70.8
PE;2605103;Custódia;67.33
PE;2605152;Dormentes;69.46
PE;2605202;Escada;71.83
PE;2605301;Exu;71.47
PE;2605400;Feira Nova;73.43
PE;2605459;Fernando de Noronha;75.36
PE;2605509;Ferreiros;72.24
PE;2605608;Flores;69.67
PE;2605707;Floresta;71.52
PE;2605806;Frei Miguelinho;70.47
PE;2605905;Gameleira;70.54
PE;2606002;Garanhuns;72.69
PE;2606101;Glória do Goitá;70.88
PE;2606200;Goiana;71.75
PE;2606309;Granito;71.4
PE;2606408;Gravatá;72.63
PE;2606507;Iati;71.09
PE;2606606;Ibimirim;67.33
PE;2606705;Ibirajuba;70.16
PE;2606804;Igarassu;71.83
PE;2606903;Iguaraci;71.19
PE;2607000;Inajá;67.66
PE;2607109;Ingazeira;70.96
PE;2607208;Ipojuca;71.44
PE;2607307;Ipubi;67.72
PE;2607406;Itacuruba;67.7
PE;2607505;Itaíba;66.25
PE;2607604;Itamaracá;73.55
PE;2607653;Itambé;68.59
PE;2607703;Itapetim;67.25
PE;2607752;Itapissuma;70.85
PE;2607802;Itaquitinga;67.87
PE;2607901;Jaboatão dos Guararapes;74.82
PE;2607950;Jaqueira;70.07
PE;2608008;Jataúba;67.74
PE;2608057;Jatobá;71.52
PE;2608107;João Alfredo;68.18
PE;2608206;Joaquim Nabuco;65.55
PE;2608255;Jucati;65.87
PE;2608305;Jupi;66.88
PE;2608404;Jurema;65.87
PE;2608453;Lagoa do Carro;72.31
PE;2608503;Lagoa do Itaenga;71.44
PE;2608602;Lagoa do Ouro;68.99
PE;2608701;Lagoa dos Gatos;68.49
PE;2608750;Lagoa Grande;67.28
PE;2608800;Lajedo;70.5
PE;2608909;Limoeiro;72.81
PE;2609006;Macaparana;71.7
PE;2609105;Machados;70.99
PE;2609154;Manari;65.89
PE;2609204;Maraial;66.85
PE;2609303;Mirandiba;71.12
PE;2609402;Moreno;73.28
PE;2609501;Nazaré da Mata;72.31
PE;2609600;Olinda;75.16
PE;2609709;Orobó;72.19
PE;2609808;Orocó;70.96
PE;2609907;Ouricuri;71.4
PE;2610004;Palmares;69.62
PE;2610103;Palmeirina;65.87
PE;2610202;Panelas;71.68
PE;2610301;Paranatama;67.17
PE;2610400;Parnamirim;71.58
PE;2610509;Passira;70.78
PE;2610608;Paudalho;71.92
PE;2610707;Paulista;74.77
PE;2610806;Pedra;69.59
PE;2610905;Pesqueira;70.04
PE;2611002;Petrolândia;70.3
PE;2611101;Petrolina;72.95
PE;2611200;Poção;65.59
PE;2611309;Pombos;72.42
PE;2611408;Primavera;71.03
PE;2611507;Quipapá;69.57
PE;2611533;Quixaba;70.14
PE;2611606;Recife;74.5
PE;2611705;Riacho das Almas;70.39
PE;2611804;Ribeirão;67.68
PE;2611903;Rio Formoso;73.56
PE;2612000;Sairé;72.05
PE;2612109;Salgadinho;68.77
PE;2612208;Salgueiro;72.92
PE;2612307;Saloá;69.61
PE;2612406;Sanharó;70.47
PE;2612455;Santa Cruz;68.31
PE;2612471;Santa Cruz da Baixa Verde;72.14
PE;2612505;Santa Cruz do Capibaribe;73.35
PE;2612554;Santa Filomena;70.1
PE;2612604;Santa Maria da Boa Vista;71.39
PE;2612703;Santa Maria do Cambucá;69.08
PE;2612802;Santa Terezinha;69.2
PE;2612901;São Benedito do Sul;69.17
PE;2613008;São Bento do Una;72.34
PE;2613107;São Caitano;70.38
PE;2613206;São João;71.09
PE;2613305;São Joaquim do Monte;69.47
PE;2613404;São José da Coroa Grande;69.15
PE;2613503;São José do Belmonte;71.12
PE;2613602;São José do Egito;71.13
PE;2613701;São Lourenço da Mata;72.57
PE;2613800;São Vicente Ferrer;67.9
PE;2613909;Serra Talhada;72.97
PE;2614006;Serrita;70.62
PE;2614105;Sertânia;70.14
PE;2614204;Sirinhaém;70.76
PE;2614303;Moreilândia;71.05
PE;2614402;Solidão;70.27
PE;2614501;Surubim;70.37
PE;2614600;Tabira;71.19
PE;2614709;Tacaimbó;69.86
PE;2614808;Tacaratu;67.63
PE;2614857;Tamandaré;69.71
PE;2615003;Taquaritinga do Norte;72.76
PE;2615102;Terezinha;67.65
PE;2615201;Terra Nova;69.43
PE;2615300;Timbaúba;71.14
PE;2615409;Toritama;72.83
PE;2615508;Tracunhaém;71.58
PE;2615607;Trindade;71.05
PE;2615706;Triunfo;74
PE;2615805;Tupanatinga;69.82
PE;2615904;Tuparetama;69.95
PE;2616001;Venturosa;70.04
PE;2616100;Verdejante;70.62
PE;2616183;Vertente do Lério;68.54
PE;2616209;Vertentes;68.69
PE;2616308;Vicência;70.26
PE;2616407;Vitória de Santo Antão;71.07
PE;2616506;Xexéu;67.15
PE;2699919;Muribeca;
PE;2699929;Nossa Senhora do Ó de Goyanna;
PE;2699939;Cimbres;
PI;2200053;Acauã;66.53
PI;2200103;Agricolândia;69.53
PI;2200202;Água Branca;70.79
PI;2200251;Alagoinha do Piauí;67.95
PI;2200277;Alegrete do Piauí;69.94
PI;2200301;Alto Longá;70.05
PI;2200400;Altos;71.03
PI;2200459;Alvorada do Gurguéia;69.96
PI;2200509;Amarante;70
PI;2200608;Angical do Piauí;69.2
PI;2200707;Anísio de Abreu;71.09
PI;2200806;Antônio Almeida;71.85
PI;2200905;Aroazes;70.11
PI;2200954;Aroeiras de Itaim;69.27
PI;2201002;Arraial;70.66
PI;2201051;Assunção do Piauí;67.35
PI;2201101;Avelino Lopes;68.3
PI;2201150;Baixa Grande do Ribeiro;70.07
PI;2201176;Barra D'Alcântara;71.59
PI;2201200;Barras;71.74
PI;2201309;Barreiras do Piauí;68.81
PI;2201408;Barro Duro;68.72
PI;2201507;Batalha;70.31
PI;2201556;Bela Vista do Piauí;67.52
PI;2201572;Belém do Piauí;66.77
PI;2201606;Beneditinos;71.82
PI;2201705;Bertolínia;70.47
PI;2201739;Betânia do Piauí;67.1
PI;2201770;Boa Hora;71.31
PI;2201804;Bocaina;71.37
PI;2201903;Bom Jesus;72.93
PI;2201919;Bom Princípio do Piauí;71.19
PI;2201929;Bonfim do Piauí;67.42
PI;2201945;Boqueirão do Piauí;68.71
PI;2201960;Brasileira;70.1
PI;2201988;Brejo do Piauí;68.49
PI;2202000;Buriti dos Lopes;69.09
PI;2202026;Buriti dos Montes;71.78
PI;2202059;Cabeceiras do Piauí;71.11
PI;2202075;Cajazeiras do Piauí;70.1
PI;2202083;Cajueiro da Praia;69.36
PI;2202091;Caldeirão Grande do Piauí;69.63
PI;2202109;Campinas do Piauí;71.55
PI;2202117;Campo Alegre do Fidalgo;70.69
PI;2202133;Campo Grande do Piauí;68.23
PI;2202174;Campo Largo do Piauí;70.98
PI;2202208;Campo Maior;72.58
PI;2202251;Canavieira;71.67
PI;2202307;Canto do Buriti;68.41
PI;2202406;Capitão de Campos;71.35
PI;2202455;Capitão Gervásio Oliveira;68.51
PI;2202505;Caracol;71.23
PI;2202539;Caraúbas do Piauí;71.51
PI;2202554;Caridade do Piauí;67.89
PI;2202604;Castelo do Piauí;70.21
PI;2202653;Caxingó;67.5
PI;2202703;Cocal;67.72
PI;2202711;Cocal de Telha;71.78
PI;2202729;Cocal dos Alves;71.73
PI;2202737;Coivaras;68.92
PI;2202752;Colônia do Gurguéia;71.7
PI;2202778;Colônia do Piauí;71.34
PI;2202802;Conceição do Canindé;70.54
PI;2202851;Coronel José Dias;68.49
PI;2202901;Corrente;72.31
PI;2203008;Cristalândia do Piauí;71.18
PI;2203107;Cristino Castro;67.77
PI;2203206;Curimatá;69.47
PI;2203230;Currais;69.55
PI;2203255;Curralinhos;70.7
PI;2203271;Curral Novo do Piauí;66.1
PI;2203305;Demerval Lobão;71.88
PI;2203354;Dirceu Arcoverde;68.06
PI;2203404;Dom Expedito Lopes;70.69
PI;2203420;Domingos Mourão;70.28
PI;2203453;Dom Inocêncio;70.33
PI;2203503;Elesbão Veloso;70.5
PI;2203602;Eliseu Martins;69.51
PI;2203701;Esperantina;71.15
PI;2203750;Fartura do Piauí;69.25
PI;2203800;Flores do Piauí;67.26
PI;2203859;Floresta do Piauí;70.2
PI;2203909;Floriano;73.13
PI;2204006;Francinópolis;68.31
PI;2204105;Francisco Ayres;70.38
PI;2204154;Francisco Macedo;67.06
PI;2204204;Francisco Santos;70.21
PI;2204303;Fronteiras;69.86
PI;2204352;Geminiano;70.32
PI;2204402;Gilbués;70.18
PI;2204501;Guadalupe;72.65
PI;2204550;Guaribas;67.63
PI;2204600;Hugo Napoleão;71.57
PI;2204659;Ilha Grande;67.48
PI;2204709;Inhuma;71.33
PI;2204808;Ipiranga do Piauí;70.89
PI;2204907;Isaías Coelho;71
PI;2205003;Itainópolis;68.5
PI;2205102;Itaueira;68.64
PI;2205151;Jacobina do Piauí;68.45
PI;2205201;Jaicós;67.55
PI;2205250;Jardim do Mulato;67.68
PI;2205276;Jatobá do Piauí;71.8
PI;2205300;Jerumenha;72.22
PI;2205359;João Costa;70.09
PI;2205409;Joaquim Pires;70.92
PI;2205458;Joca Marques;68.53
PI;2205508;José de Freitas;71.86
PI;2205516;Juazeiro do Piauí;70.2
PI;2205524;Júlio Borges;71.64
PI;2205532;Jurema;71.04
PI;2205540;Lagoinha do Piauí;71.57
PI;2205557;Lagoa Alegre;68.7
PI;2205565;Lagoa do Barro do Piauí;69.62
PI;2205573;Lagoa de São Francisco;69.6
PI;2205581;Lagoa do Piauí;71.7
PI;2205599;Lagoa do Sítio;69.68
PI;2205607;Landri Sales;69.25
PI;2205706;Luís Correia;68.77
PI;2205805;Luzilândia;67
PI;2205854;Madeiro;71.31
PI;2205904;Manoel Emídio;70.47
PI;2205953;Marcolândia;67.02
PI;2206001;Marcos Parente;68.02
PI;2206050;Massapê do Piauí;68.79
PI;2206100;Matias Olímpio;71.74
PI;2206209;Miguel Alves;69.5
PI;2206308;Miguel Leão;71.89
PI;2206357;Milton Brandão;71.29
PI;2206407;Monsenhor Gil;71.87
PI;2206506;Monsenhor Hipólito;69.36
PI;2206605;Monte Alegre do Piauí;71.1
PI;2206654;Morro Cabeça no Tempo;71.46
PI;2206670;Morro do Chapéu do Piauí;69.5
PI;2206696;Murici dos Portelas;71.61
PI;2206704;Nazaré do Piauí;67.41
PI;2206720;Nazária;
PI;2206753;Nossa Senhora de Nazaré;71.8
PI;2206803;Nossa Senhora dos Remédios;68.92
PI;2206902;Novo Oriente do Piauí;71.49
PI;2206951;Novo Santo Antônio;67.13
PI;2207009;Oeiras;70.19
PI;2207108;Olho D'Água do Piauí;69.73
PI;2207207;Padre Marcos;66.95
PI;2207306;Paes Landim;68.28
PI;2207355;Pajeú do Piauí;68.9
PI;2207405;Palmeira do Piauí;67.26
PI;2207504;Palmeirais;71.57
PI;2207553;Paquetá;68.88
PI;2207603;Parnaguá;71.64
PI;2207702;Parnaíba;73.98
PI;2207751;Passagem Franca do Piauí;70.46
PI;2207777;Patos do Piauí;70.28
PI;2207793;Pau D'Arco do Piauí;69.5
PI;2207801;Paulistana;71
PI;2207850;Pavussu;69.85
PI;2207900;Pedro II;70.99
PI;2207934;Pedro Laurentino;69.74
PI;2207959;Nova Santa Rita;71.17
PI;2208007;Picos;73
PI;2208106;Pimenteiras;71.43
PI;2208205;Pio IX;70.47
PI;2208304;Piracuruca;71.21
PI;2208403;Piripiri;71.51
